name,characteristics,cost_in_game,image
Gul Rune,Rune 25 of 33 / runeword material,800,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Vex Rune,Rune 26 of 33 / runeword material,1500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ohm Rune,Rune 27 of 33 / runeword material,2000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Lo Rune,Rune 28 of 33 / runeword material,3000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Sur Rune,Rune 29 of 33 / runeword material,4500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ber Rune,Rune 30 of 33 / runeword material,12000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Jah Rune,Rune 31 of 33 / runeword material,12000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Cham Rune,Rune 32 of 33 / runeword material,3000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Zod Rune,Rune 33 of 33 / runeword material,4000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Enigma,Runeword: Jah Ith Ber / body armor / +2 skills + Teleport,16000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Infinity,Runeword: Ber Mal Ber Ist / polearm / Conviction aura,22000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Grief,Runeword: Eth Tir Lo Mal Ral / weapon / huge flat damage,5000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Last Wish,Runeword: Jah Mal Jah Sur Jah Ber / weapon / Might + crushing blow,40000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Faith,Runeword: Ohm Jah Lem Eld / bow / Fanaticism aura,14000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Phoenix,Runeword: Vex Vex Lo Jah / weapon/shield / Redemption + huge fire,17000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Chains of Honor,Runeword: Dol Um Ber Ist / body armor / +2 skills all res,13000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Call to Arms,Runeword: Amn Ral Mal Ist Ohm / weapon / Battle Orders charges,4000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Heart of the Oak,Runeword: Ko Vex Pul Thul / weapon / +3 skills caster staple,2000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Spirit,Runeword: Tal Thul Ort Amn / sword/shield / +2 skills budget caster,200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Insight,Runeword: Ral Tir Tal Sol / polearm / Meditation aura,150,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Fortitude,Runeword: El Sol Dol Lo / armor/weapon / +damage + life,3500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Beast,Runeword: Ber Tir Um Mal Lum / weapon / Werebear + Fanaticism,13000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
